id,date,primary_type,arrest
11938731,2020-01-01T22:14:00Z,BATTERY,TRUE
11938732,2020-01-01T22:05:00Z,BATTERY,TRUE
11938734,2020-01-01T22:47:00Z,THEFT,FALSE
11938735,2020-01-01T20:40:00Z,NARCOTICS,TRUE
11938736,2020-01-01T22:00:00Z,OTHER OFFENSE,FALSE
11938738,2020-01-01T22:00:00Z,THEFT,FALSE
11938744,2020-01-01T07:15:00Z,BATTERY,FALSE
11938745,2020-01-01T07:45:00Z,BATTERY,FALSE
11938747,2020-01-01T21:46:00Z,THEFT,TRUE
11938748,2020-01-01T22:00:00Z,CRIMINAL DAMAGE,FALSE
11938749,2020-01-01T23:00:00Z,BATTERY,FALSE
11938750,2020-01-01T23:05:00Z,BATTERY,FALSE
11938752,2020-01-01T21:00:00Z,ASSAULT,TRUE
11938753,2020-01-01T22:15:00Z,THEFT,TRUE
11938756,2020-01-01T23:55:00Z,WEAPONS VIOLATION,FALSE
11938758,2020-01-01T22:15:00Z,BATTERY,TRUE
11938759,2020-01-01T21:00:00Z,ROBBERY,FALSE
11938762,2020-01-01T21:28:00Z,THEFT,TRUE
11938763,2020-01-01T23:07:00Z,OTHER OFFENSE,TRUE
11938766,2020-01-01T21:09:00Z,THEFT,TRUE
11938768,2020-01-01T23:40:00Z,NARCOTICS,TRUE
11938769,2020-01-02T00:00:00Z,NARCOTICS,TRUE
11938770,2020-01-01T21:00:00Z,THEFT,FALSE
11938773,2020-01-01T18:16:00Z,ASSAULT,TRUE
11938776,2020-01-01T22:06:00Z,CRIMINAL DAMAGE,FALSE
11938777,2020-01-01T23:30:00Z,BATTERY,FALSE
11938780,2020-01-01T06:45:00Z,BATTERY,FALSE
11938781,2020-01-01T06:15:00Z,CRIMINAL DAMAGE,FALSE
11938783,2020-01-01T23:05:00Z,BATTERY,FALSE
11938786,2020-01-01T19:11:00Z,ASSAULT,FALSE
11938787,2020-01-01T08:00:00Z,BATTERY,FALSE
11938791,2020-01-01T07:30:00Z,CRIMINAL DAMAGE,FALSE
11938795,2020-01-01T23:05:00Z,BATTERY,TRUE
11938797,2020-01-01T11:30:00Z,MOTOR VEHICLE THEFT,FALSE
11938798,2020-01-01T23:00:00Z,ASSAULT,FALSE
11938800,2020-01-01T22:30:00Z,BATTERY,FALSE
11938802,2020-01-01T22:18:00Z,BATTERY,FALSE
11938804,2020-01-02T00:45:00Z,CRIMINAL DAMAGE,FALSE
11938806,2020-01-01T21:45:00Z,BURGLARY,FALSE
11938809,2020-01-01T23:20:00Z,THEFT,TRUE
11938811,2020-01-01T22:10:00Z,CRIMINAL DAMAGE,FALSE
11938812,2020-01-01T17:12:00Z,ROBBERY,TRUE
11938813,2020-01-02T00:05:00Z,CRIMINAL DAMAGE,FALSE
11938814,2020-01-01T15:00:00Z,THEFT,FALSE
11938818,2020-01-02T01:21:00Z,CRIMINAL DAMAGE,FALSE
11938819,2020-01-01T21:30:00Z,BATTERY,TRUE
11938821,2020-01-01T20:46:00Z,OTHER OFFENSE,FALSE
11938824,2020-01-02T00:05:00Z,OTHER OFFENSE,TRUE
11938825,2020-01-02T01:00:00Z,ASSAULT,FALSE
11938827,2020-01-02T00:51:00Z,CRIMINAL TRESPASS,TRUE
11938829,2020-01-01T22:30:00Z,DECEPTIVE PRACTICE,FALSE
11938830,2020-01-02T01:18:00Z,NARCOTICS,TRUE
11938831,2020-01-01T23:20:00Z,CRIMINAL DAMAGE,FALSE
11938832,2020-01-02T00:00:00Z,BATTERY,FALSE
11938834,2020-01-02T00:19:00Z,BATTERY,TRUE
11938836,2020-01-02T00:53:00Z,MOTOR VEHICLE THEFT,FALSE
11938838,2020-01-01T21:21:00Z,BATTERY,TRUE
11938840,2020-01-01T23:27:00Z,ASSAULT,FALSE
11938843,2020-01-01T23:56:00Z,WEAPONS VIOLATION,TRUE
11938859,2020-01-01T17:40:00Z,DECEPTIVE PRACTICE,FALSE
11938861,2020-01-01T11:18:00Z,DECEPTIVE PRACTICE,FALSE
11938864,2020-01-02T00:01:00Z,ASSAULT,FALSE
11938865,2020-01-01T22:45:00Z,THEFT,FALSE
11938866,2020-01-02T01:30:00Z,NARCOTICS,TRUE
11938869,2020-01-01T23:31:00Z,BATTERY,FALSE
11938871,2020-01-02T01:35:00Z,NARCOTICS,TRUE
11938874,2020-01-02T00:32:00Z,NARCOTICS,TRUE
11938875,2020-01-01T20:00:00Z,CRIMINAL DAMAGE,FALSE
11938877,2020-01-02T00:05:00Z,BATTERY,TRUE
11938878,2020-01-02T00:28:00Z,NARCOTICS,TRUE
11938880,2020-01-02T01:46:00Z,CRIMINAL TRESPASS,TRUE
11938881,2020-01-01T19:48:00Z,ASSAULT,FALSE
11938882,2020-01-02T02:15:00Z,BATTERY,FALSE
11938883,2020-01-02T01:21:00Z,BURGLARY,FALSE
11938884,2020-01-01T20:03:00Z,ASSAULT,FALSE
11938885,2020-01-02T01:54:00Z,CRIMINAL TRESPASS,FALSE
11938886,2020-01-02T00:30:00Z,BATTERY,FALSE
11938888,2020-01-02T00:32:00Z,ASSAULT,FALSE
11938889,2020-01-02T01:11:00Z,CRIMINAL TRESPASS,TRUE
11938890,2020-01-02T02:00:00Z,NARCOTICS,TRUE
11938897,2020-01-01T23:31:00Z,CRIMINAL TRESPASS,FALSE
11938900,2020-01-01T09:00:00Z,BATTERY,FALSE
11938901,2020-01-01T22:00:00Z,BATTERY,FALSE
11938903,2020-01-02T02:00:00Z,NARCOTICS,TRUE
11938904,2020-01-02T00:31:00Z,BATTERY,FALSE
11938906,2020-01-01T20:00:00Z,CRIMINAL DAMAGE,FALSE
11938909,2020-01-01T23:27:00Z,BURGLARY,FALSE
11938913,2020-01-01T23:25:00Z,BATTERY,FALSE
11938915,2020-01-02T01:20:00Z,OTHER OFFENSE,FALSE
11938916,2020-01-02T00:58:00Z,NARCOTICS,TRUE
11938917,2020-01-02T02:30:00Z,NARCOTICS,TRUE
11938918,2020-01-01T10:35:00Z,BATTERY,FALSE
11938921,2020-01-02T03:15:00Z,BATTERY,FALSE
11938922,2020-01-02T02:48:00Z,BURGLARY,FALSE
